Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
32,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,55.0,1020.0,19%,4.4,Premium Phones-,100%,407,"[ (5 out of 5) I love it ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (4 out of 5) Very good ], [ (5 out of 5) A good device ], [ (4 out of 5) rate ], [ (5 out of 5) good phone ], [ (2 out of 5) good ], [ (4 out of 5) great ], [ (5 out of 5) Tecno Pop 7 ]"
33,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,52.0,884.0,11%,4.4,Premium Phones-,100%,407,"[ (4 out of 5) Delivery process excellent ], [ (5 out of 5) i loved  it ], [ (4 out of 5) As described ], [ (4 out of 5) Nice phone ], [ (5 out of 5) Awesome one  ], [ (3 out of 5) Poor camera ], [ (5 out of 5) quality ]"
34,Oppo,A18 ,6.6,4.0,128.0,,Dual,5000.0,81.0,1224.0,0,4.9,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) I love it ], [ (5 out of 5) good ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ]"
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,Infinix,Hot 30i ,6.56,4.0,128.0,13MP + 8MP,Dual,5000.0,74.0,1564.0,29%,4.4,Tech Traders,86%,722,"[ (5 out of 5) Infinix hot30i ], [ (1 out of 5) Really poor phone ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Decent ], [ (5 out of 5) original ], [ (5 out of 5) i liked it ], [ (5 out of 5) Love it ], [ (4 out of 5) I like it ], [ (5 out of 5) BEST BUDGET ]"
38,XIAOMI,Redmi A2 ,6.52,2.0,32.0,8MP + 5MP,Dual,5000.0,52.0,1020.0,23%,4.7,XIAOMI KE,100%,9268,"[ (5 out of 5) Fast, efficient and easier to operate. ], [ (5 out of 5) Loved it ], [ (5 out of 5) performance ], [ (5 out of 5) its the best ], [ (5 out of 5) I like it. ], [ (5 out of 5) Perfect! ], [ (5 out of 5) I like it. ], [ (5 out of 5) I love it ], [ (5 out of 5) I love it ], [ (5 out of 5) love  ]"
39,,,,,,,,,,,,,,,,
40,Tecno,Pop 7 Pro ,6.6,4.0,64.0,13MP + 5MP,Dual,5000.0,64.0,1156.0,17%,4.7,Premium Phones-,100%,407,[ (5 out of 5) Good  ]
41,Huawei,P Smart ,6.21,6.0,128.0,13MP + 2MP + 8MP,Dual,0.0,54.0,1454.0,44%,0.0,3C Market-COD,60%,22,No reviews
42,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,74.0,1360.0,18%,4.1,Premium Phones-,100%,407,"[ (5 out of 5) spark 10c ], [ (4 out of 5) product arrived in good condition ], [ (2 out of 5) Camera so poor ], [ (5 out of 5) very nice phone ], [ (5 out of 5) I like it ], [ (4 out of 5) Great ], [ (5 out of 5) PERFOMANCE ], [ (5 out of 5) Efficiency ], [ (5 out of 5) a good good ], [ (5 out of 5) Good specs ]"
43,,,,,,,,,,,,,,,,
44,Infinix,Hot 30i ,6.6,8.0,128.0,13MP + 8MP,Dual,5000.0,90.0,1564.0,13%,4.6,Tech Traders,86%,722,"[ (5 out of 5) I like it 100% ], [ (5 out of 5) good best ], [ (5 out of 5) Good customer service at the pick up session ], [ (5 out of 5) Nice phone ]"
